"ID","K_8"
"TCGA.02.0003",1
"TCGA.02.0004",1
"TCGA.02.0011",2
"TCGA.02.0014",2
"TCGA.02.0068",3
"TCGA.02.0069",2
"TCGA.02.0116",3
"TCGA.02.2470",1
"TCGA.02.2485",2
"TCGA.04.1335",4
"TCGA.04.1336",4
"TCGA.04.1338",4
"TCGA.04.1341",4
"TCGA.04.1342",4
"TCGA.04.1343",4
"TCGA.04.1348",4
"TCGA.04.1349",4
"TCGA.04.1356",4
"TCGA.04.1357",4
"TCGA.04.1360",4
"TCGA.04.1361",4
"TCGA.04.1362",4
"TCGA.04.1369",4
"TCGA.04.1370",4
"TCGA.04.1514",4
"TCGA.04.1516",4
"TCGA.04.1517",4
"TCGA.04.1519",4
"TCGA.04.1525",4
"TCGA.04.1542",4
"TCGA.04.1638",4
"TCGA.04.1644",4
"TCGA.04.1646",4
"TCGA.04.1648",4
"TCGA.04.1649",4
"TCGA.04.1651",4
"TCGA.04.1654",4
"TCGA.05.4244",3
"TCGA.05.4249",3
"TCGA.05.4250",3
"TCGA.05.4384",3
"TCGA.05.4396",3
"TCGA.05.4397",3
"TCGA.05.4398",3
"TCGA.05.4402",3
"TCGA.05.4405",3
"TCGA.05.4410",3
"TCGA.05.4417",3
"TCGA.05.4418",3
"TCGA.05.4420",3
"TCGA.05.4422",3
"TCGA.05.4426",3
"TCGA.05.4427",3
"TCGA.05.4430",3
"TCGA.05.4434",3
"TCGA.05.5420",3
"TCGA.05.5423",3
"TCGA.05.5425",3
"TCGA.05.5429",3
"TCGA.05.5715",1
"TCGA.06.0125",2
"TCGA.06.0126",2
"TCGA.06.0128",3
"TCGA.06.0129",2
"TCGA.06.0130",2
"TCGA.06.0154",2
"TCGA.06.0155",2
"TCGA.06.0156",2
"TCGA.06.0171",3
"TCGA.06.0189",2
"TCGA.06.0238",2
"TCGA.06.0644",1
"TCGA.06.0650",1
"TCGA.06.0875",2
"TCGA.06.0876",2
"TCGA.06.0877",2
"TCGA.06.0878",2
"TCGA.06.0879",2
"TCGA.06.0882",2
"TCGA.06.0939",2
"TCGA.06.1084",1
"TCGA.06.1086",2
"TCGA.06.1087",1
"TCGA.06.1800",2
"TCGA.06.1802",2
"TCGA.06.1804",2
"TCGA.06.1805",2
"TCGA.06.1806",2
"TCGA.06.2557",2
"TCGA.06.2558",2
"TCGA.06.2559",2
"TCGA.06.2562",2
"TCGA.06.2563",2
"TCGA.06.2564",2
"TCGA.06.2565",2
"TCGA.06.2566",2
"TCGA.06.2567",2
"TCGA.06.2570",2
"TCGA.06.5408",2
"TCGA.06.5410",1
"TCGA.06.5411",2
"TCGA.06.5412",1
"TCGA.06.5413",2
"TCGA.06.5414",2
"TCGA.06.5415",2
"TCGA.06.5416",2
"TCGA.06.5417",2
"TCGA.06.5418",2
"TCGA.06.5856",2
"TCGA.06.5858",2
"TCGA.06.5859",2
"TCGA.06.6388",2
"TCGA.06.6389",2
"TCGA.06.6390",2
"TCGA.06.6391",2
"TCGA.06.6693",2
"TCGA.06.6694",2
"TCGA.06.6695",2
"TCGA.06.6697",2
"TCGA.06.6698",2
"TCGA.06.6699",2
"TCGA.06.6700",2
"TCGA.06.6701",2
"TCGA.08.0245",3
"TCGA.08.0344",2
"TCGA.08.0345",2
"TCGA.08.0346",2
"TCGA.08.0347",2
"TCGA.08.0348",1
"TCGA.08.0349",2
"TCGA.08.0350",2
"TCGA.08.0351",2
"TCGA.08.0352",2
"TCGA.08.0353",2
"TCGA.08.0354",2
"TCGA.08.0355",2
"TCGA.08.0356",2
"TCGA.08.0357",2
"TCGA.08.0358",2
"TCGA.08.0359",2
"TCGA.08.0360",2
"TCGA.08.0373",2
"TCGA.08.0375",2
"TCGA.08.0380",2
"TCGA.08.0385",2
"TCGA.08.0386",2
"TCGA.08.0389",2
"TCGA.08.0390",2
"TCGA.08.0392",1
"TCGA.09.1662",4
"TCGA.09.1664",4
"TCGA.09.1665",4
"TCGA.09.1666",4
"TCGA.09.1670",4
"TCGA.09.1673",4
"TCGA.09.1674",5
"TCGA.09.2043",4
"TCGA.09.2044",4
"TCGA.09.2045",4
"TCGA.09.2049",4
"TCGA.09.2051",4
"TCGA.09.2054",1
"TCGA.09.2055",4
"TCGA.09.2056",4
"TCGA.10.0925",4
"TCGA.10.0926",4
"TCGA.10.0931",4
"TCGA.10.0933",4
"TCGA.10.0936",4
"TCGA.12.0691",2
"TCGA.12.0692",2
"TCGA.12.1597",2
"TCGA.12.1598",2
"TCGA.12.1599",2
"TCGA.12.3646",2
"TCGA.12.3649",2
"TCGA.12.3650",2
"TCGA.12.3651",2
"TCGA.12.3652",2
"TCGA.12.3653",2
"TCGA.12.5295",2
"TCGA.12.5301",2
"TCGA.13.0720",4
"TCGA.13.0725",4
"TCGA.13.0793",4
"TCGA.13.0794",4
"TCGA.13.0797",4
"TCGA.13.0799",4
"TCGA.13.0800",4
"TCGA.13.0801",4
"TCGA.13.0802",4
"TCGA.13.0804",4
"TCGA.13.0884",4
"TCGA.13.0886",4
"TCGA.13.0887",4
"TCGA.13.0888",4
"TCGA.13.0891",4
"TCGA.13.0894",4
"TCGA.13.0897",4
"TCGA.13.0899",4
"TCGA.13.0901",4
"TCGA.13.0903",4
"TCGA.13.0906",4
"TCGA.13.0910",4
"TCGA.13.0911",4
"TCGA.13.0913",4
"TCGA.13.0916",4
"TCGA.13.0920",4
"TCGA.13.0921",4
"TCGA.13.1404",4
"TCGA.13.1405",4
"TCGA.13.1408",4
"TCGA.13.1409",4
"TCGA.13.1410",4
"TCGA.13.1411",4
"TCGA.13.1412",4
"TCGA.13.1477",4
"TCGA.13.1481",1
"TCGA.13.1482",4
"TCGA.13.1483",4
"TCGA.13.1484",6
"TCGA.13.1487",4
"TCGA.13.1488",4
"TCGA.13.1489",4
"TCGA.13.1491",4
"TCGA.13.1492",4
"TCGA.13.1494",1
"TCGA.13.1495",4
"TCGA.13.1496",4
"TCGA.13.1498",4
"TCGA.13.1499",4
"TCGA.13.1500",4
"TCGA.13.1501",4
"TCGA.13.1504",4
"TCGA.13.1505",4
"TCGA.13.1506",4
"TCGA.13.1507",4
"TCGA.13.1509",4
"TCGA.13.1511",4
"TCGA.13.1512",4
"TCGA.13.1817",4
"TCGA.13.1819",4
"TCGA.13.2059",4
"TCGA.13.2060",4
"TCGA.13.2061",4
"TCGA.13.2065",4
"TCGA.13.2066",5
"TCGA.14.0813",2
"TCGA.14.0862",2
"TCGA.14.0871",1
"TCGA.14.1823",2
"TCGA.15.1446",2
"TCGA.15.1447",2
"TCGA.15.1449",2
"TCGA.16.0846",2
"TCGA.16.1460",2
"TCGA.18.4721",3
"TCGA.18.5592",3
"TCGA.18.5595",3
"TCGA.19.0957",2
"TCGA.19.0962",2
"TCGA.19.1386",2
"TCGA.19.1389",2
"TCGA.19.1390",2
"TCGA.19.1392",2
"TCGA.19.1786",2
"TCGA.19.1788",2
"TCGA.19.1789",2
"TCGA.19.1790",1
"TCGA.19.1791",2
"TCGA.19.2619",2
"TCGA.19.2620",2
"TCGA.19.2625",1
"TCGA.19.2631",2
"TCGA.19.4068",2
"TCGA.19.5947",1
"TCGA.19.5950",2
"TCGA.19.5951",2
"TCGA.19.5952",2
"TCGA.19.5953",1
"TCGA.19.5954",2
"TCGA.19.5955",2
"TCGA.19.5956",2
"TCGA.19.5958",2
"TCGA.19.5959",2
"TCGA.19.5960",2
"TCGA.20.1682",4
"TCGA.20.1683",4
"TCGA.20.1684",4
"TCGA.20.1685",4
"TCGA.20.1686",6
"TCGA.20.1687",4
"TCGA.21.1070",3
"TCGA.21.1071",3
"TCGA.21.1072",3
"TCGA.21.1075",3
"TCGA.21.1076",3
"TCGA.21.1078",3
"TCGA.21.1079",3
"TCGA.21.1080",3
"TCGA.21.1081",3
"TCGA.21.1082",3
"TCGA.21.1083",3
"TCGA.21.5782",3
"TCGA.21.5784",3
"TCGA.21.5786",3
"TCGA.21.5787",3
"TCGA.22.0940",3
"TCGA.22.1000",3
"TCGA.22.1011",3
"TCGA.22.4591",3
"TCGA.22.4596",3
"TCGA.22.4605",3
"TCGA.22.4607",3
"TCGA.22.4609",3
"TCGA.22.5471",3
"TCGA.22.5472",3
"TCGA.22.5473",3
"TCGA.22.5474",3
"TCGA.22.5477",3
"TCGA.22.5478",3
"TCGA.22.5479",3
"TCGA.22.5480",3
"TCGA.22.5482",3
"TCGA.22.5483",3
"TCGA.22.5485",3
"TCGA.22.5489",3
"TCGA.22.5491",3
"TCGA.22.5492",3
"TCGA.23.1109",4
"TCGA.23.1110",4
"TCGA.23.1111",6
"TCGA.23.1121",4
"TCGA.23.1122",4
"TCGA.23.1123",4
"TCGA.23.1124",4
"TCGA.23.1809",4
"TCGA.23.2077",4
"TCGA.23.2078",1
"TCGA.23.2079",4
"TCGA.23.2081",4
"TCGA.23.2641",4
"TCGA.23.2643",4
"TCGA.23.2645",4
"TCGA.23.2647",4
"TCGA.23.2649",4
"TCGA.24.0966",4
"TCGA.24.0970",4
"TCGA.24.0979",4
"TCGA.24.0980",4
"TCGA.24.0982",4
"TCGA.24.1103",4
"TCGA.24.1104",4
"TCGA.24.1105",4
"TCGA.24.1416",4
"TCGA.24.1417",4
"TCGA.24.1419",4
"TCGA.24.1422",4
"TCGA.24.1423",4
"TCGA.24.1424",4
"TCGA.24.1427",4
"TCGA.24.1428",4
"TCGA.24.1430",4
"TCGA.24.1431",4
"TCGA.24.1434",4
"TCGA.24.1435",4
"TCGA.24.1436",4
"TCGA.24.1463",4
"TCGA.24.1464",4
