ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	res
210102_at	5.17229268714394	10.2065510973783	39.2674440382231	1.18849265131014e-13	2.53909570025898e-09	20.7482317778172	treatment_on_WT	limma
225842_at	6.21984618315155	8.3413780000863	36.5937292220488	2.66631822888697e-13	2.84816113209706e-09	20.1596457150675	treatment_on_WT	limma
223596_at	4.95443973660695	6.62743641218661	33.0175349131574	8.64840176564402e-13	6.15881517737396e-09	19.2557362836805	treatment_on_WT	limma
202988_s_at	7.90126919826648	8.536798662253	31.9640633432608	1.25276032426869e-12	6.69099289191905e-09	18.9602191021294	treatment_on_WT	limma
208438_s_at	4.48939999674859	9.71077103764867	30.7884799165531	1.92178199457438e-12	8.2113901064174e-09	18.612834851219	treatment_on_WT	limma
218559_s_at	6.49614898948071	8.85338376909817	30.2295105331194	2.36872134127108e-12	8.29652650010662e-09	18.4407601385928	treatment_on_WT	limma
235417_at	7.22613866295412	4.61753604322738	29.8668592154969	2.71839007211881e-12	8.29652650010662e-09	18.3266360932355	treatment_on_WT	limma
1562415_a_at	8.5198317708807	5.07693578496273	29.4651692129518	3.17234080330184e-12	8.47173611521757e-09	18.197879751337	treatment_on_WT	limma
204122_at	3.81101251603	10.5023532293211	29.111215832584	3.64100387682205e-12	8.64293409160291e-09	18.0823306456335	treatment_on_WT	limma
207111_at	4.592544792763	6.78851639597122	28.7297432791521	4.23169746412474e-12	9.0405984623561e-09	17.9555467458165	treatment_on_WT	limma
225842_at	6.27651193809284	8.3413780000863	36.9271154877899	2.40327021918799e-13	4.53602689656624e-09	20.3174489957926	treatment_on_depleted	limma
210102_at	4.60164018225317	10.2065510973783	34.9351166436875	4.53439338312745e-13	4.53602689656624e-09	19.8308940438718	treatment_on_depleted	limma
223596_at	5.08874454356003	6.62743641218661	33.912573280425	6.36963147804658e-13	4.53602689656624e-09	19.5640863943162	treatment_on_depleted	limma
202988_s_at	8.00781204080858	8.536798662253	32.3950753847862	1.07499326721492e-12	5.07889593419002e-09	19.1448850931201	treatment_on_depleted	limma
208438_s_at	4.68229462591766	9.71077103764867	32.1113587913435	1.18865753936295e-12	5.07889593419002e-09	19.0632526976394	treatment_on_depleted	limma
225782_at	-4.14899487629793	8.64052848011401	-30.5706478067316	2.08401042328757e-12	6.62334053387137e-09	18.6007934124695	treatment_on_depleted	limma
211962_s_at	8.9534509581293	8.28441185880405	30.4623294552655	2.17016400192378e-12	6.62334053387137e-09	18.5670142199258	treatment_on_depleted	limma
201324_at	7.27049878723508	9.44561158381797	28.8286361893497	4.06918244373829e-12	1.07859307248206e-08	18.0359376666414	treatment_on_depleted	limma
201325_s_at	7.82914949901853	8.2317190392365	28.3286888483145	4.96680493038685e-12	1.07859307248206e-08	17.8649197387521	treatment_on_depleted	limma
207111_at	4.50329449665947	6.78851639597122	28.1714170765022	5.29197596036027e-12	1.07859307248206e-08	17.8102566928799	treatment_on_depleted	limma
212942_s_at	3.18157865891426	3.32800936988005	5.42492865845844	0.000176181733559013	0.99993815218758	-4.15095688661213	Diff	limma
243851_at	1.12553076465485	6.07365455390498	4.59799587234689	0.00067747358700575	0.99993815218758	-4.20258093265711	Diff	limma
219497_s_at	1.0144396612122	8.81616901549273	4.5459926785305	0.000739672139216311	0.99993815218758	-4.20633199415621	Diff	limma
200733_s_at	0.917933684807847	10.3831882784985	4.54413451118587	0.000742002196107531	0.99993815218758	-4.20646723294614	Diff	limma
223944_at	-1.21110471730702	6.2616747926044	-4.49103968565707	0.000811929109722604	0.99993815218758	-4.21036704529989	Diff	limma
219810_at	1.1885939599784	5.32260326424579	4.44075974935645	0.000884513498575668	0.99993815218758	-4.21412401793456	Diff	limma
206759_at	-1.05333146979926	4.81516846366282	-4.41317413780669	0.000927185382437879	0.99993815218758	-4.21621197279746	Diff	limma
236417_at	1.33416010681693	5.64833364587166	4.40136601171949	0.000946102951083209	0.99993815218758	-4.21711156413041	Diff	limma
206461_x_at	0.915925873838862	11.4450324263956	4.32926521962821	0.00107069566601421	0.99993815218758	-4.22268111490454	Diff	limma
205435_s_at	-0.939666126243508	5.24895662039043	-4.31662962650518	0.00109423598314939	0.99993815218758	-4.22367084449418	Diff	limma
