1	2	3	res
TCGA-AB-2802	tier1	15	pop.fig1a
TCGA-AB-2803	tier1	18	pop.fig1a
TCGA-AB-2804	tier1	10	pop.fig1a
TCGA-AB-2805	tier1	18	pop.fig1a
TCGA-AB-2806	tier1	19	pop.fig1a
TCGA-AB-2807	tier1	35	pop.fig1a
TCGA-AB-2808	tier1	11	pop.fig1a
TCGA-AB-2809	tier1	5	pop.fig1a
TCGA-AB-2810	tier1	16	pop.fig1a
TCGA-AB-2811	tier1	10	pop.fig1a
TCGA-AB-2812	tier1	11	pop.fig1a
TCGA-AB-2813	tier1	18	pop.fig1a
TCGA-AB-2814	tier1	14	pop.fig1a
TCGA-AB-2816	tier1	9	pop.fig1a
TCGA-AB-2817	tier1	17	pop.fig1a
TCGA-AB-2818	tier1	16	pop.fig1a
TCGA-AB-2819	tier1	20	pop.fig1a
TCGA-AB-2820	tier1	20	pop.fig1a
TCGA-AB-2821	tier1	15	pop.fig1a
TCGA-AB-2822	tier1	24	pop.fig1a
TCGA-AB-2823	tier1	1	pop.fig1a
TCGA-AB-2824	tier1	5	pop.fig1a
TCGA-AB-2825	tier1	3	pop.fig1a
TCGA-AB-2826	tier1	6	pop.fig1a
TCGA-AB-2827	tier1	14	pop.fig1a
TCGA-AB-2828	tier1	13	pop.fig1a
TCGA-AB-2829	tier1	10	pop.fig1a
TCGA-AB-2830	tier1	18	pop.fig1a
TCGA-AB-2831	tier1	4	pop.fig1a
TCGA-AB-2832	tier1	12	pop.fig1a
TCGA-AB-2833	tier1	10	pop.fig1a
TCGA-AB-2834	tier1	1	pop.fig1a
TCGA-AB-2835	tier1	3	pop.fig1a
TCGA-AB-2836	tier1	4	pop.fig1a
TCGA-AB-2837	tier1	2	pop.fig1a
TCGA-AB-2838	tier1	24	pop.fig1a
TCGA-AB-2839	tier1	21	pop.fig1a
TCGA-AB-2840	tier1	1	pop.fig1a
TCGA-AB-2841	tier1	7	pop.fig1a
TCGA-AB-2842	tier1	2	pop.fig1a
TCGA-AB-2843	tier1	12	pop.fig1a
TCGA-AB-2844	tier1	16	pop.fig1a
TCGA-AB-2845	tier1	7	pop.fig1a
TCGA-AB-2846	tier1	18	pop.fig1a
TCGA-AB-2847	tier1	11	pop.fig1a
TCGA-AB-2848	tier1	1	pop.fig1a
TCGA-AB-2849	tier1	28	pop.fig1a
TCGA-AB-2850	tier1	6	pop.fig1a
TCGA-AB-2851	tier1	8	pop.fig1a
TCGA-AB-2853	tier1	13	pop.fig1a
TCGA-AB-2854	tier1	12	pop.fig1a
TCGA-AB-2855	tier1	6	pop.fig1a
TCGA-AB-2857	tier1	16	pop.fig1a
TCGA-AB-2858	tier1	15	pop.fig1a
TCGA-AB-2859	tier1	17	pop.fig1a
TCGA-AB-2860	tier1	15	pop.fig1a
TCGA-AB-2861	tier1	22	pop.fig1a
TCGA-AB-2862	tier1	14	pop.fig1a
TCGA-AB-2863	tier1	18	pop.fig1a
TCGA-AB-2864	tier1	18	pop.fig1a
TCGA-AB-2865	tier1	22	pop.fig1a
TCGA-AB-2866	tier1	1	pop.fig1a
TCGA-AB-2867	tier1	13	pop.fig1a
TCGA-AB-2868	tier1	18	pop.fig1a
TCGA-AB-2869	tier1	15	pop.fig1a
TCGA-AB-2870	tier1	12	pop.fig1a
TCGA-AB-2871	tier1	16	pop.fig1a
TCGA-AB-2872	tier1	14	pop.fig1a
TCGA-AB-2873	tier1	4	pop.fig1a
TCGA-AB-2874	tier1	16	pop.fig1a
TCGA-AB-2875	tier1	11	pop.fig1a
TCGA-AB-2876	tier1	13	pop.fig1a
TCGA-AB-2877	tier1	24	pop.fig1a
TCGA-AB-2878	tier1	16	pop.fig1a
TCGA-AB-2879	tier1	6	pop.fig1a
TCGA-AB-2880	tier1	3	pop.fig1a
TCGA-AB-2881	tier1	9	pop.fig1a
TCGA-AB-2882	tier1	18	pop.fig1a
TCGA-AB-2883	tier1	1	pop.fig1a
TCGA-AB-2884	tier1	6	pop.fig1a
TCGA-AB-2885	tier1	14	pop.fig1a
TCGA-AB-2886	tier1	17	pop.fig1a
TCGA-AB-2887	tier1	16	pop.fig1a
TCGA-AB-2888	tier1	10	pop.fig1a
TCGA-AB-2889	tier1	6	pop.fig1a
TCGA-AB-2890	tier1	9	pop.fig1a
TCGA-AB-2891	tier1	16	pop.fig1a
TCGA-AB-2892	tier1	3	pop.fig1a
TCGA-AB-2893	tier1	2	pop.fig1a
TCGA-AB-2894	tier1	5	pop.fig1a
TCGA-AB-2895	tier1	17	pop.fig1a
