id	cluster	res
TCGA-02-0003	1	hc
TCGA-02-0004	1	hc
TCGA-02-0011	2	hc
TCGA-02-0014	2	hc
TCGA-02-0068	3	hc
TCGA-02-0069	2	hc
TCGA-02-0116	4	hc
TCGA-02-2470	1	hc
TCGA-02-2485	2	hc
TCGA-04-1335	5	hc
TCGA-04-1336	5	hc
TCGA-04-1338	5	hc
TCGA-04-1341	5	hc
TCGA-04-1342	5	hc
TCGA-04-1343	5	hc
TCGA-04-1348	5	hc
TCGA-04-1349	5	hc
TCGA-04-1356	5	hc
TCGA-04-1357	5	hc
TCGA-04-1360	5	hc
TCGA-04-1361	5	hc
TCGA-04-1362	5	hc
TCGA-04-1369	5	hc
TCGA-04-1370	5	hc
TCGA-04-1514	5	hc
TCGA-04-1516	5	hc
TCGA-04-1517	5	hc
TCGA-04-1519	5	hc
TCGA-04-1525	5	hc
TCGA-04-1542	5	hc
TCGA-04-1638	5	hc
TCGA-04-1644	5	hc
TCGA-04-1646	5	hc
TCGA-04-1648	5	hc
TCGA-04-1649	5	hc
TCGA-04-1651	5	hc
TCGA-04-1654	5	hc
TCGA-05-4244	3	hc
TCGA-05-4249	3	hc
TCGA-05-4250	3	hc
TCGA-05-4384	3	hc
TCGA-05-4396	3	hc
TCGA-05-4397	3	hc
TCGA-05-4398	3	hc
TCGA-05-4402	3	hc
TCGA-05-4405	3	hc
TCGA-05-4410	3	hc
TCGA-05-4417	3	hc
TCGA-05-4418	3	hc
TCGA-05-4420	3	hc
TCGA-05-4422	3	hc
TCGA-05-4426	3	hc
TCGA-05-4427	3	hc
TCGA-05-4430	3	hc
TCGA-05-4434	3	hc
TCGA-05-5420	3	hc
TCGA-05-5423	3	hc
TCGA-05-5425	3	hc
TCGA-05-5429	3	hc
TCGA-05-5715	1	hc
TCGA-06-0125	2	hc
TCGA-06-0126	2	hc
TCGA-06-0128	4	hc
TCGA-06-0129	2	hc
TCGA-06-0130	2	hc
TCGA-06-0154	2	hc
TCGA-06-0155	2	hc
TCGA-06-0156	2	hc
TCGA-06-0171	4	hc
TCGA-06-0189	2	hc
TCGA-06-0238	2	hc
TCGA-06-0644	1	hc
TCGA-06-0650	1	hc
TCGA-06-0875	2	hc
TCGA-06-0876	2	hc
TCGA-06-0877	2	hc
TCGA-06-0878	2	hc
TCGA-06-0879	2	hc
TCGA-06-0882	2	hc
TCGA-06-0939	2	hc
TCGA-06-1084	1	hc
TCGA-06-1086	2	hc
TCGA-06-1087	1	hc
TCGA-06-1800	2	hc
TCGA-06-1802	2	hc
TCGA-06-1804	2	hc
TCGA-06-1805	2	hc
TCGA-06-1806	2	hc
TCGA-06-2557	2	hc
TCGA-06-2558	2	hc
TCGA-06-2559	2	hc
TCGA-06-2562	2	hc
TCGA-06-2563	2	hc
TCGA-06-2564	2	hc
TCGA-06-2565	2	hc
TCGA-06-2566	2	hc
TCGA-06-2567	2	hc
TCGA-06-2570	2	hc
TCGA-06-5408	2	hc
TCGA-06-5410	1	hc
TCGA-06-5411	2	hc
TCGA-06-5412	1	hc
TCGA-06-5413	2	hc
TCGA-06-5414	2	hc
TCGA-06-5415	2	hc
TCGA-06-5416	2	hc
TCGA-06-5417	2	hc
TCGA-06-5418	2	hc
TCGA-06-5856	2	hc
TCGA-06-5858	2	hc
TCGA-06-5859	2	hc
TCGA-06-6388	2	hc
TCGA-06-6389	2	hc
TCGA-06-6390	2	hc
TCGA-06-6391	2	hc
TCGA-06-6693	2	hc
TCGA-06-6694	2	hc
TCGA-06-6695	2	hc
TCGA-06-6697	2	hc
TCGA-06-6698	2	hc
TCGA-06-6699	2	hc
TCGA-06-6700	2	hc
TCGA-06-6701	2	hc
TCGA-08-0245	4	hc
TCGA-08-0344	2	hc
TCGA-08-0345	2	hc
TCGA-08-0346	2	hc
TCGA-08-0347	2	hc
TCGA-08-0348	1	hc
TCGA-08-0349	2	hc
TCGA-08-0350	2	hc
TCGA-08-0351	2	hc
TCGA-08-0352	2	hc
TCGA-08-0353	2	hc
TCGA-08-0354	2	hc
TCGA-08-0355	2	hc
TCGA-08-0356	2	hc
TCGA-08-0357	2	hc
TCGA-08-0358	2	hc
TCGA-08-0359	2	hc
TCGA-08-0360	2	hc
TCGA-08-0373	2	hc
TCGA-08-0375	2	hc
TCGA-08-0380	2	hc
TCGA-08-0385	2	hc
TCGA-08-0386	2	hc
TCGA-08-0389	2	hc
TCGA-08-0390	2	hc
TCGA-08-0392	1	hc
TCGA-09-1662	5	hc
TCGA-09-1664	5	hc
TCGA-09-1665	5	hc
TCGA-09-1666	5	hc
TCGA-09-1670	5	hc
TCGA-09-1673	5	hc
TCGA-09-1674	6	hc
TCGA-09-2043	5	hc
TCGA-09-2044	5	hc
TCGA-09-2045	5	hc
TCGA-09-2049	5	hc
TCGA-09-2051	5	hc
TCGA-09-2054	1	hc
TCGA-09-2055	5	hc
TCGA-09-2056	5	hc
TCGA-10-0925	5	hc
TCGA-10-0926	5	hc
TCGA-10-0931	5	hc
TCGA-10-0933	5	hc
TCGA-10-0936	5	hc
TCGA-12-0691	2	hc
TCGA-12-0692	2	hc
TCGA-12-1597	2	hc
TCGA-12-1598	2	hc
TCGA-12-1599	2	hc
TCGA-12-3646	2	hc
TCGA-12-3649	2	hc
TCGA-12-3650	2	hc
TCGA-12-3651	2	hc
TCGA-12-3652	2	hc
TCGA-12-3653	2	hc
TCGA-12-5295	2	hc
TCGA-12-5301	2	hc
TCGA-13-0720	5	hc
TCGA-13-0725	5	hc
TCGA-13-0793	5	hc
TCGA-13-0794	5	hc
TCGA-13-0797	5	hc
TCGA-13-0799	5	hc
TCGA-13-0800	5	hc
TCGA-13-0801	5	hc
TCGA-13-0802	5	hc
TCGA-13-0804	5	hc
TCGA-13-0884	5	hc
TCGA-13-0886	5	hc
TCGA-13-0887	5	hc
TCGA-13-0888	5	hc
TCGA-13-0891	5	hc
TCGA-13-0894	5	hc
TCGA-13-0897	5	hc
TCGA-13-0899	5	hc
TCGA-13-0901	5	hc
TCGA-13-0903	5	hc
TCGA-13-0906	5	hc
TCGA-13-0910	5	hc
TCGA-13-0911	5	hc
TCGA-13-0913	5	hc
TCGA-13-0916	5	hc
TCGA-13-0920	5	hc
TCGA-13-0921	5	hc
TCGA-13-1404	5	hc
TCGA-13-1405	5	hc
TCGA-13-1408	5	hc
TCGA-13-1409	5	hc
TCGA-13-1410	5	hc
TCGA-13-1411	5	hc
TCGA-13-1412	5	hc
TCGA-13-1477	5	hc
TCGA-13-1481	1	hc
TCGA-13-1482	5	hc
TCGA-13-1483	5	hc
TCGA-13-1484	7	hc
TCGA-13-1487	5	hc
TCGA-13-1488	5	hc
TCGA-13-1489	5	hc
TCGA-13-1491	5	hc
TCGA-13-1492	5	hc
TCGA-13-1494	1	hc
TCGA-13-1495	5	hc
TCGA-13-1496	5	hc
TCGA-13-1498	5	hc
TCGA-13-1499	5	hc
TCGA-13-1500	5	hc
TCGA-13-1501	5	hc
TCGA-13-1504	5	hc
TCGA-13-1505	5	hc
TCGA-13-1506	5	hc
TCGA-13-1507	5	hc
TCGA-13-1509	5	hc
TCGA-13-1511	5	hc
TCGA-13-1512	5	hc
TCGA-13-1817	5	hc
TCGA-13-1819	5	hc
TCGA-13-2059	5	hc
TCGA-13-2060	5	hc
TCGA-13-2061	5	hc
TCGA-13-2065	5	hc
TCGA-13-2066	6	hc
TCGA-14-0813	2	hc
TCGA-14-0862	2	hc
TCGA-14-0871	1	hc
TCGA-14-1823	2	hc
TCGA-15-1446	2	hc
TCGA-15-1447	2	hc
TCGA-15-1449	2	hc
TCGA-16-0846	2	hc
TCGA-16-1460	2	hc
TCGA-18-4721	3	hc
TCGA-18-5592	3	hc
TCGA-18-5595	3	hc
TCGA-19-0957	2	hc
TCGA-19-0962	2	hc
TCGA-19-1386	2	hc
TCGA-19-1389	2	hc
TCGA-19-1390	2	hc
TCGA-19-1392	2	hc
TCGA-19-1786	2	hc
TCGA-19-1788	2	hc
TCGA-19-1789	2	hc
TCGA-19-1790	1	hc
TCGA-19-1791	2	hc
TCGA-19-2619	2	hc
TCGA-19-2620	2	hc
TCGA-19-2625	1	hc
TCGA-19-2631	2	hc
TCGA-19-4068	2	hc
TCGA-19-5947	1	hc
TCGA-19-5950	2	hc
TCGA-19-5951	2	hc
TCGA-19-5952	2	hc
TCGA-19-5953	1	hc
TCGA-19-5954	2	hc
TCGA-19-5955	2	hc
TCGA-19-5956	2	hc
TCGA-19-5958	2	hc
TCGA-19-5959	2	hc
TCGA-19-5960	2	hc
TCGA-20-1682	5	hc
TCGA-20-1683	5	hc
TCGA-20-1684	5	hc
TCGA-20-1685	5	hc
TCGA-20-1686	7	hc
TCGA-20-1687	5	hc
TCGA-21-1070	4	hc
TCGA-21-1071	4	hc
TCGA-21-1072	3	hc
TCGA-21-1075	3	hc
TCGA-21-1076	3	hc
TCGA-21-1078	3	hc
TCGA-21-1079	3	hc
TCGA-21-1080	3	hc
TCGA-21-1081	3	hc
TCGA-21-1082	3	hc
TCGA-21-1083	3	hc
TCGA-21-5782	3	hc
TCGA-21-5784	3	hc
TCGA-21-5786	3	hc
TCGA-21-5787	3	hc
TCGA-22-0940	4	hc
TCGA-22-1000	3	hc
TCGA-22-1011	3	hc
TCGA-22-4591	3	hc
TCGA-22-4596	3	hc
TCGA-22-4605	3	hc
TCGA-22-4607	3	hc
TCGA-22-4609	3	hc
TCGA-22-5471	3	hc
TCGA-22-5472	3	hc
TCGA-22-5473	3	hc
TCGA-22-5474	3	hc
TCGA-22-5477	3	hc
TCGA-22-5478	3	hc
TCGA-22-5479	3	hc
TCGA-22-5480	3	hc
TCGA-22-5482	3	hc
TCGA-22-5483	3	hc
TCGA-22-5485	3	hc
TCGA-22-5489	3	hc
TCGA-22-5491	3	hc
TCGA-22-5492	3	hc
TCGA-23-1109	5	hc
TCGA-23-1110	5	hc
TCGA-23-1111	7	hc
TCGA-23-1121	5	hc
TCGA-23-1122	5	hc
TCGA-23-1123	5	hc
TCGA-23-1124	5	hc
TCGA-23-1809	5	hc
TCGA-23-2077	5	hc
TCGA-23-2078	1	hc
TCGA-23-2079	5	hc
TCGA-23-2081	5	hc
TCGA-23-2641	5	hc
TCGA-23-2643	5	hc
TCGA-23-2645	5	hc
TCGA-23-2647	5	hc
TCGA-23-2649	5	hc
TCGA-24-0966	5	hc
TCGA-24-0970	5	hc
TCGA-24-0979	5	hc
TCGA-24-0980	5	hc
TCGA-24-0982	5	hc
TCGA-24-1103	5	hc
TCGA-24-1104	5	hc
TCGA-24-1105	5	hc
TCGA-24-1416	5	hc
TCGA-24-1417	5	hc
TCGA-24-1419	5	hc
TCGA-24-1422	5	hc
TCGA-24-1423	5	hc
TCGA-24-1424	5	hc
TCGA-24-1427	5	hc
TCGA-24-1428	5	hc
TCGA-24-1430	5	hc
TCGA-24-1431	5	hc
TCGA-24-1434	5	hc
TCGA-24-1435	5	hc
TCGA-24-1436	5	hc
TCGA-24-1463	5	hc
TCGA-24-1464	5	hc
TCGA-24-1466	5	hc
TCGA-24-1467	5	hc
TCGA-24-1469	7	hc
TCGA-24-1470	5	hc
TCGA-24-1471	5	hc
TCGA-24-1474	5	hc
TCGA-24-1544	5	hc
TCGA-24-1545	5	hc
TCGA-24-1546	5	hc
TCGA-24-1548	5	hc
TCGA-24-1549	5	hc
TCGA-24-1550	7	hc
TCGA-24-1551	5	hc
TCGA-24-1552	5	hc
TCGA-24-1553	5	hc
TCGA-24-1555	5	hc
TCGA-24-1556	5	hc
TCGA-24-1557	5	hc
TCGA-24-1558	5	hc
TCGA-24-1560	5	hc
TCGA-24-1562	5	hc
TCGA-24-1563	5	hc
TCGA-24-1564	5	hc
TCGA-24-1565	5	hc
TCGA-24-1567	5	hc
TCGA-24-1603	5	hc
TCGA-24-1604	5	hc
TCGA-24-1614	5	hc
TCGA-24-1616	5	hc
TCGA-24-1842	5	hc
TCGA-24-1844	5	hc
TCGA-24-1845	5	hc
TCGA-24-1846	5	hc
TCGA-24-1849	5	hc
TCGA-24-1850	5	hc
TCGA-24-1852	5	hc
TCGA-24-1920	7	hc
TCGA-24-1923	5	hc
TCGA-24-1924	5	hc
TCGA-24-1927	5	hc
TCGA-24-1930	5	hc
TCGA-24-2020	5	hc
TCGA-24-2023	5	hc
