user.self	sys.self	elapsed	user.child	sys.child
pop.load	 1.17	 0.00	 1.26	   NA	   NA
pop.fig1a.sac	 0.42	 0.00	 0.42	   NA	   NA
pop.fig1a.merge	 0.00	 0.00	 0.00	   NA	   NA
pop.fig1a	 0.51	 0.03	 0.94	   NA	   NA
pop.fig1b.order	 0.02	 0.00	 0.02	   NA	   NA
pop.fig1b	18.66	 0.03	18.97	   NA	   NA
pop.clean	 0.05	 0.00	 0.05	   NA	   NA
fam.load	18.62	 0.20	19.16	   NA	   NA
fam.check.unique	 0.00	 0.00	 0.00	   NA	   NA
fam.check.intersect	 0.03	 0.00	 0.03	   NA	   NA
fam.check.order	 3.93	 0.00	 4.09	   NA	   NA
fam.check	 3.96	 0.00	 4.12	   NA	   NA
fam.prepare	 0.09	 0.00	 0.09	   NA	   NA
fam.score	 1.34	 0.02	 1.39	   NA	   NA
fam.window	 1.07	 0.00	 1.11	   NA	   NA
fam.clean	 0.06	 0.00	 0.06	   NA	   NA
